oferta_id;oferta_tomador_sexo;oferta_tom_cond;oferta_propietario_tom;oferta_propietario_cond;oferta_veh_tara;oferta_veh_categoria;oferta_veh_puertos;antiguedad_permiso;antiguedad_permiso_riesgo;edad_segundo_conductor_riesgo;cliente_extranjero;car_ranking;d_uso_particular;d_uso_alquiler;d_tipo_ciclomotor;d_tipo_furgoneta;d_tipo_camion;d_tipo_autocar;d_tipo_remolque;d_tipo_agricola;d_tipo_industrial;d_tipo_triciclo;vehiculo_heavy;oferta_sim_cia_actual;oferta_sim_siniestro_5_anio_culpa;oferta_sim_anios_asegurado;oferta_sim_antiguedad_cia_actual;oferta_sim_siniestro_1_anio_culpa;oferta_bonus_simulacion_perc;oferta_veh_valor_unitary;cliente_edad_18_30;cliente_edad_30_65;cliente_edad_65;antiguedad_vehiculo;oferta_adicional_riesgo;oferta_veh_marca;oferta_veh_modelo;oferta_veh_version;oferta_veh_accesorio;oferta_veh_uso;oferta_veh_tipo;oferta_veh_grupo_tarifa;oferta_veh_plazas;oferta_veh_potencia;oferta_veh_cilindrada;cliente_region_AFRICAARABE;cliente_region_AFRICASUBSHARIANA;cliente_region_AMERICADELSUR;cliente_region_ASIAORIENTAL;cliente_region_EUROPACENTRAL;cliente_region_EUROPADELNORTE;cliente_region_EUROPADELSUR;cliente_region_EUROPAOCCIDENTAL;cliente_region_EUROPAORIENTAL;cliente_region_MARCARIBE;cliente_region_OCEANIA;cliente_region_nan;d_sin_cia;cp_risk_relabel;intm_risk_relabel;customer_risk_relabel;veh_risk_relabel;target;risk_cia
5935;1;1;1;1;0;1;0;22;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-80.0;31340;0;1;0;1;0;0054;40;21;1500.0;110;150;18;5;150.0;1395;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;7;1;0
8552;1;1;1;0;0;1;0;14;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;42;0;20;20;0;35.0;26950;0;1;0;11;0;17;52;10;1500.0;110;120;17;7;110.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
3290;1;1;1;1;0;1;0;37;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;26800;0;1;0;11;0;0046;334;12;1500.0;110;100;18;5;136.0;1997;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;1;9;1;0
5410;1;1;1;1;0;1;0;16;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;29250;0;1;0;1;0;49;119;33;1500.0;110;150;18;5;150.0;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;0;2;1;0
1614;0;1;1;1;0;1;0;7;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;29930;1;0;0;1;0;0027;29;45;0.0;110;150;17;5;115.0;1685;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;4;2;1;0
3163;1;1;1;1;0;1;0;21;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.0;8751;0;1;0;20;0;0045;6;200;1500.0;110;100;15;5;54.0;973;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;8;6;9;1;0
5572;1;1;1;1;0;1;0;20;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;8842;0;1;0;20;0;0054;14;184;1500.0;110;100;15;5;60.0;1390;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;9;1;0
4746;0;0;0;1;0;1;0;9;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;8530;1;0;0;20;0;0059;2;22;1500.0;110;150;15;5;69.0;1298;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;4;9;1;0
9755;1;1;1;1;0;1;0;21;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;16140;0;1;0;18;0;0023;40;14;1500.0;110;100;16;5;90.0;1753;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;6;9;1;0
9706;1;1;1;1;0;1;0;18;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;16752;0;1;0;18;0;72;1;14;1500.0;110;150;16;5;83.0;1998;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;0;9;1;0
6007;0;1;1;1;0;1;0;11;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;16670;0;1;0;18;0;0054;30;6;1500.0;110;100;17;5;110.0;1896;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;3;6;9;1;0
11135;1;0;1;1;0;1;0;14;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;54;0;20;20;0;35.0;10866;0;1;0;19;0;27;5;9;0.0;110;100;16;5;90.0;1495;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;0;9;1;0
8726;1;1;1;1;0;1;0;22;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0;10916;0;1;0;19;1;0017;17;12;1500.0;110;100;15;5;58.0;1527;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;0;6;9;1;0
9029;1;1;1;1;0;1;0;31;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;10824;0;1;0;19;1;64;6;133;1500.0;110;100;15;5;64.0;1896;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;6;9;1;0
6851;0;1;1;1;0;1;0;28;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;10914;0;1;0;19;0;0045;6;162;1500.0;110;100;15;5;60.0;1686;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;6;9;1;0
13921;1;1;1;1;0;1;0;15;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0;16900;0;1;0;1;0;0017;67;33;1500.0;110;100;17;5;99.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;3;0;2;1;0
3391;1;1;1;1;0;1;0;31;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;16090;0;1;0;1;0;0046;375;113;1500.0;110;100;16;5;82.0;1199;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;1;6;2;1;0
1669;1;1;1;1;0;1;0;40;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;16240;0;1;0;1;0;0045;6;592;1500.0;110;100;16;5;90.0;1398;0;0;0;0;0;0;1;0;0;0;0;0;0;3.0;5;7;2;1;0
14643;1;1;1;1;0;1;0;29;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;13284;0;1;0;16;0;0017;24;2;1500.0;110;100;15;5;75.0;1360;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;7;9;1;0
12509;0;1;1;1;0;1;0;17;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-80.0;13330;0;1;0;16;0;0046;5;119;1500.0;110;100;15;5;70.0;1868;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;4;9;1;0
