oferta_id;oferta_tomador_sexo;oferta_tom_cond;oferta_propietario_tom;oferta_propietario_cond;oferta_veh_tara;oferta_veh_categoria;oferta_veh_puertos;antiguedad_permiso;antiguedad_permiso_riesgo;edad_segundo_conductor_riesgo;cliente_extranjero;car_ranking;d_uso_particular;d_uso_alquiler;d_tipo_ciclomotor;d_tipo_furgoneta;d_tipo_camion;d_tipo_autocar;d_tipo_remolque;d_tipo_agricola;d_tipo_industrial;d_tipo_triciclo;vehiculo_heavy;oferta_sim_cia_actual;oferta_sim_siniestro_5_anio_culpa;oferta_sim_anios_asegurado;oferta_sim_antiguedad_cia_actual;oferta_sim_siniestro_1_anio_culpa;oferta_bonus_simulacion_perc;oferta_veh_valor_unitary;cliente_edad_18_30;cliente_edad_30_65;cliente_edad_65;antiguedad_vehiculo;oferta_adicional_riesgo;oferta_veh_marca;oferta_veh_modelo;oferta_veh_version;oferta_veh_accesorio;oferta_veh_uso;oferta_veh_tipo;oferta_veh_grupo_tarifa;oferta_veh_plazas;oferta_veh_potencia;oferta_veh_cilindrada;cliente_region_AFRICAARABE;cliente_region_AFRICASUBSHARIANA;cliente_region_AMERICADELSUR;cliente_region_ASIAORIENTAL;cliente_region_EUROPACENTRAL;cliente_region_EUROPADELNORTE;cliente_region_EUROPADELSUR;cliente_region_EUROPAOCCIDENTAL;cliente_region_EUROPAORIENTAL;cliente_region_MARCARIBE;cliente_region_OCEANIA;cliente_region_nan;d_sin_cia;cp_risk_relabel;intm_risk_relabel;customer_risk_relabel;veh_risk_relabel;target;risk_cia
7644;1;1;1;1;0;1;0;20;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;85;0;50;46;0;60.0;31350;0;1;0;1;0;0013;94;230;1500.0;110;100;18;5;184.0;1998;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;7;0;0
3112;1;1;0;0;0;1;0;35;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;29;0;56;46;0;60.0;31710;0;1;0;1;0;0017;54;152;1500.0;110;120;18;7;150.0;1997;0;0;0;0;0;0;1;0;0;0;0;0;0;5.0;6;6;7;0;0
10642;0;1;1;0;0;1;0;15;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;54;0;50;46;0;60.0;32000;0;1;0;1;0;13;1;487;1500.0;110;100;17;5;116.0;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;7;0;0
5523;0;1;1;1;0;1;0;18;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;146;0;56;46;0;60.0;31250;0;1;0;1;0;0046;364;96;1500.0;110;150;18;7;120.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;9;6;7;0;0
6304;0;1;1;1;0;1;0;39;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;60.0;31650;0;1;0;1;0;0044;95;347;1500.0;110;150;18;5;130.0;1598;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;7;7;7;0;0
8006;1;0;0;1;0;1;0;16;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;54;0;50;46;0;60.0;31250;0;1;0;1;0;0046;364;96;1500.0;110;150;18;7;120.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;7;0;0
1912;1;1;1;1;0;1;0;35;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;60.0;31258;0;1;0;1;0;0041;265;74;1500.0;110;100;17;5;109.0;1461;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;1;7;0;0
9052;1;1;1;1;0;1;0;37;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;54;10;56;30;0;45.0;31500;0;1;0;1;0;0040;6;70;1500.0;110;100;18;2;160.0;1998;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;1;7;0;0
943;1;1;1;1;0;1;0;13;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;105;0;56;46;0;60.0;31800;0;1;0;1;0;0054;40;5;1500.0;110;150;18;5;150.0;1395;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;7;0;0
2399;1;1;1;1;0;1;0;12;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;92;0;56;46;0;60.0;31400;0;1;0;1;0;0046;371;123;1500.0;110;100;18;5;120.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;6;6;7;0;0
